seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S330	IGHV4-59*01	IGHD4-17*01	IGHJ6*01	291	11	13	0	46
S331	IGHV3-23*02	IGHD2-2*01	IGHJ1*01	296	3	25	2	47
S332	IGHV7-4-1*04	IGHD6-19*01	IGHJ3*02	292	0	18	1	50
S333	IGHV4-31*07	IGHD1-7*01	IGHJ6*01	290	11	10	0	59
S334	IGHV3-13*04	IGHD3-3*02	IGHJ1*01	292	5	23	6	50
S335	IGHV3-21*02	IGHD1-1*01	IGHJ3*01	294	10	7	9	47
S336	IGHV4-38-2*01	IGHD4-17*01	IGHJ5*01	294	5	13	4	51
S337	IGHV3-74*01	IGHD2-8*01	IGHJ5*02	296	0	31	3	49
S338	IGHV5-51*03	IGHD3-3*02	IGHJ1*01	292	8	29	1	43
S339	IGHV3-11*05	IGHD6-25*01	IGHJ4*01	295	0	4	2	42
S340	IGHV2-26*01	IGHD6-13*01	IGHJ4*02	298	8	21	17	44
S341	IGHV3-30-3*02	IGHD1-26*01	IGHJ4*03	296	3	11	8	46
S342	IGHV3-72*01	IGHD4-17*01	IGHJ5*02	302	1	6	4	48
S343	IGHV4-34*12	IGHD5-18*01	IGHJ1*01	291	9	17	0	50
S344	IGHV1-8*02	IGHD5-18*01	IGHJ1*01	296	5	10	10	49
S345	IGHV5-51*01	IGHD5-5*01	IGHJ3*02	296	7	0	9	43
S346	IGHV4-31*01	IGHD6-25*01	IGHJ1*01	299	18	18	6	44
S347	IGHV6-1*02	IGHD2-8*01	IGHJ3*02	305	0	24	0	41
S348	IGHV2-70*13	IGHD3-10*02	IGHJ2*01	300	8	13	11	44
S349	IGHV4-38-2*02	IGHD2-21*01	IGHJ4*01	294	7	28	3	47
S350	IGHV3-72*01	IGHD3-22*01	IGHJ1*01	297	7	15	1	50
S351	IGHV7-4-1*01	IGHD3-3*02	IGHJ1*01	292	8	22	4	47
S352	IGHV3-53*01	IGHD1-26*01	IGHJ4*01	292	1	2	4	41
S353	IGHV4-30-2*03	IGHD6-6*01	IGHJ2*01	298	0	13	0	53
S354	IGHV5-51*03	IGHD4-17*01	IGHJ5*02	294	0	11	19	40
S355	IGHV3-53*01	IGHD2-8*01	IGHJ4*01	293	3	27	0	44
S356	IGHV3-74*01	IGHD1-26*01	IGHJ3*02	296	2	17	1	48
S357	IGHV3-53*03	IGHD4-17*01	IGHJ6*04	292	3	16	0	50
S358	IGHV1-69*11	IGHD7-27*01	IGHJ2*01	296	7	1	6	48
S359	IGHV4-59*05	IGHD2-15*01	IGHJ6*02	288	0	13	13	58
S360	IGHV1-3*01	IGHD1-7*01	IGHJ1*01	295	3	4	5	51
S361	IGHV3-74*02	IGHD5-12*01	IGHJ2*01	294	4	11	1	51
S362	IGHV4-59*02	IGHD3-16*02	IGHJ5*01	292	15	29	0	46
S363	IGHV2-26*01	IGHD3-22*01	IGHJ2*01	301	9	31	0	53
S364	IGHV3-64*04	IGHD4-4*01	IGHJ1*01	295	0	14	3	49
S365	IGHV3-48*01	IGHD3-22*01	IGHJ2*01	291	4	21	1	53
S366	IGHV3-30-3*02	IGHD3-16*02	IGHJ2*01	295	0	37	9	53
S367	IGHV2-5*08	IGHD4-4*01	IGHJ3*01	300	2	6	0	50
S368	IGHV3-48*02	IGHD4-17*01	IGHJ4*01	296	7	9	0	37
S369	IGHV3-33*05	IGHD2-8*01	IGHJ4*03	293	3	30	0	44
S370	IGHV3-53*03	IGHD6-13*01	IGHJ5*02	292	2	18	10	51
S371	IGHV3-64*05	IGHD1-20*01	IGHJ2*01	296	13	17	3	53
S372	IGHV3-64*01	IGHD1-20*01	IGHJ4*02	296	10	3	0	43
S373	IGHV3-64*04	IGHD1-26*01	IGHJ6*01	295	12	18	0	54
S374	IGHV3-73*02	IGHD3-16*02	IGHJ2*01	302	8	30	6	42
S375	IGHV1-18*03	IGHD5-12*01	IGHJ3*02	295	12	21	5	49
S376	IGHV2-5*08	IGHD1-26*01	IGHJ2*01	300	0	20	4	49
S377	IGHV3-48*04	IGHD7-27*01	IGHJ6*01	294	12	5	8	57
S378	IGHV3-66*04	IGHD6-19*01	IGHJ2*01	293	7	13	4	47
S379	IGHV1-18*04	IGHD3-3*01	IGHJ5*01	296	0	19	1	51
S380	IGHV4-59*08	IGHD5-18*01	IGHJ4*01	293	3	14	0	45
S381	IGHV4-38-2*02	IGHD1-26*01	IGHJ2*01	295	6	13	3	41
S382	IGHV3-21*02	IGHD3-10*01	IGHJ4*01	296	9	20	0	42
S383	IGHV4-59*05	IGHD6-6*01	IGHJ6*03	288	8	16	3	57
S384	IGHV3-43*02	IGHD1-26*01	IGHJ5*01	297	0	0	0	49
S385	IGHV1-18*04	IGHD7-27*01	IGHJ3*02	296	7	7	3	42
S386	IGHV4-39*02	IGHD3-22*01	IGHJ6*04	299	0	26	9	57
S387	IGHV3-43*01	IGHD6-13*01	IGHJ4*01	298	1	12	0	41
S388	IGHV1-69*05	IGHD6-6*01	IGHJ4*02	294	6	10	0	42
S389	IGHV3-72*01	IGHD6-25*01	IGHJ6*03	297	3	15	14	61
S390	IGHV3-11*06	IGHD2-15*01	IGHJ6*04	295	7	20	0	57
S391	IGHV1-69*10	IGHD1-26*01	IGHJ1*01	296	2	19	0	50
S392	IGHV4-28*03	IGHD3-16*02	IGHJ3*01	296	0	33	0	50
S393	IGHV1-69*01	IGHD3-10*02	IGHJ6*04	296	6	24	0	50
S394	IGHV4-30-4*02	IGHD5-5*01	IGHJ6*02	299	7	4	1	58
S395	IGHV3-11*04	IGHD3-16*01	IGHJ6*02	295	0	36	6	62
S396	IGHV5-10-1*04	IGHD5-12*01	IGHJ2*01	294	9	19	7	50
S397	IGHV3-30*03	IGHD1-1*01	IGHJ4*02	296	10	11	8	42
S398	IGHV4-30-4*03	IGHD3-3*01	IGHJ2*01	290	0	22	0	43
S399	IGHV3-53*03	IGHD7-27*01	IGHJ3*02	288	7	2	5	50
S400	IGHV1-45*01	IGHD4-17*01	IGHJ2*01	295	0	14	0	49
S401	IGHV3-48*01	IGHD1-20*01	IGHJ6*02	295	3	5	1	62
S402	IGHV4-61*01	IGHD2-2*02	IGHJ4*02	298	7	26	9	48
S403	IGHV1-69*11	IGHD4-4*01	IGHJ1*01	295	4	3	3	44
S404	IGHV1-46*03	IGHD6-13*01	IGHJ2*01	296	4	7	0	42
S405	IGHV3-23*05	IGHD5-12*01	IGHJ2*01	292	5	23	0	47
S406	IGHV3-7*03	IGHD2-8*01	IGHJ2*01	296	21	22	4	51
S407	IGHV2-5*01	IGHD3-22*01	IGHJ5*01	301	15	16	4	46
S408	IGHV7-4-1*02	IGHD6-25*01	IGHJ2*01	296	8	17	1	48
S409	IGHV3-23*02	IGHD5-18*01	IGHJ2*01	296	7	5	1	52
S410	IGHV4-30-2*02	IGHD3-9*01	IGHJ2*01	292	0	15	0	48
S411	IGHV4-61*02	IGHD2-21*02	IGHJ6*04	296	8	21	3	63
S412	IGHV4-34*04	IGHD6-25*01	IGHJ4*03	291	5	8	0	42
S413	IGHV1-24*01	IGHD3-9*01	IGHJ6*02	295	6	16	1	57
S414	IGHV3-21*04	IGHD6-19*01	IGHJ6*02	295	1	19	7	44
S415	IGHV1-58*01	IGHD3-10*01	IGHJ3*01	296	2	31	4	46
S416	IGHV1-69-2*01	IGHD6-19*01	IGHJ2*01	296	5	14	3	43
S417	IGHV1-45*01	IGHD2-21*01	IGHJ1*01	296	5	16	1	52
S418	IGHV3-11*05	IGHD1-26*01	IGHJ1*01	296	2	14	0	52
S419	IGHV3-66*02	IGHD2-15*01	IGHJ5*02	291	5	24	0	38
S420	IGHV3-11*03	IGHD3-10*01	IGHJ6*01	294	2	25	4	63
S421	IGHV3-72*01	IGHD4-4*01	IGHJ3*02	301	3	10	4	43
S422	IGHV2-5*06	IGHD4-4*01	IGHJ1*01	299	12	0	3	50
S423	IGHV3-9*01	IGHD2-2*03	IGHJ3*01	298	12	17	2	50
S424	IGHV3-33*06	IGHD1-1*01	IGHJ3*01	295	12	16	0	50
S425	IGHV3-66*03	IGHD1-7*01	IGHJ2*01	289	12	15	6	48
S426	IGHV3-11*06	IGHD5-12*01	IGHJ2*01	295	5	13	0	51
S427	IGHV2-5*02	IGHD5-12*01	IGHJ6*02	300	7	19	3	55
S428	IGHV3-66*04	IGHD5-12*01	IGHJ2*01	292	3	5	5	47
S429	IGHV1-8*02	IGHD6-6*01	IGHJ6*04	296	1	0	4	60
S430	IGHV3-53*04	IGHD2-21*02	IGHJ5*01	293	12	17	4	50
S431	IGHV3-23*04	IGHD6-6*01	IGHJ2*01	293	2	13	1	49
S432	IGHV3-7*02	IGHD3-10*01	IGHJ2*01	293	0	20	7	47
S433	IGHV4-38-2*01	IGHD6-25*01	IGHJ2*01	288	5	11	0	48
S434	IGHV3-21*01	IGHD5-18*01	IGHJ3*01	296	18	20	4	50
S435	IGHV3-64*03	IGHD2-8*02	IGHJ2*01	296	12	30	8	45
S436	IGHV4-39*02	IGHD3-3*01	IGHJ2*01	296	5	25	0	53
S437	IGHV4-4*05	IGHD4-17*01	IGHJ6*03	287	14	3	0	56
S438	IGHV5-51*03	IGHD1-20*01	IGHJ4*02	294	5	0	12	35
S439	IGHV3-23*05	IGHD1-26*01	IGHJ1*01	293	5	3	0	51
S440	IGHV2-26*01	IGHD6-25*01	IGHJ2*01	299	13	14	6	53
S441	IGHV4-30-4*07	IGHD2-2*01	IGHJ6*03	299	0	25	17	46
S442	IGHV4-30-4*01	IGHD5-5*01	IGHJ3*01	294	9	20	3	50
S443	IGHV3-13*03	IGHD6-25*01	IGHJ5*01	290	21	7	10	51
S444	IGHV3-9*02	IGHD7-27*01	IGHJ3*01	291	0	1	4	50
S445	IGHV3-49*05	IGHD6-13*01	IGHJ5*02	302	12	2	0	51
S446	IGHV1-45*01	IGHD1-20*01	IGHJ1*01	296	6	4	3	46
S447	IGHV4-59*05	IGHD3-10*02	IGHJ2*01	288	5	22	3	46
S448	IGHV3-9*01	IGHD3-3*01	IGHJ1*01	295	0	26	0	52
S449	IGHV4-38-2*01	IGHD3-16*02	IGHJ3*01	293	5	34	6	50
S450	IGHV3-15*06	IGHD1-7*01	IGHJ5*02	302	15	0	2	51
S451	IGHV4-30-2*03	IGHD1-26*01	IGHJ4*02	298	2	12	10	48
S452	IGHV3-7*03	IGHD3-9*01	IGHJ3*01	294	7	24	1	38
S453	IGHV1-24*01	IGHD3-22*01	IGHJ3*01	296	17	29	4	45
S454	IGHV5-10-1*04	IGHD2-15*01	IGHJ5*01	288	7	23	4	51
S455	IGHV3-15*03	IGHD3-10*01	IGHJ2*01	301	1	17	7	53
S456	IGHV4-30-4*01	IGHD4-17*01	IGHJ5*01	298	18	8	0	49
S457	IGHV3-30*07	IGHD2-8*02	IGHJ3*02	296	4	22	1	44
S458	IGHV1-2*04	IGHD3-10*02	IGHJ2*01	295	2	16	0	48
S459	IGHV1-2*04	IGHD3-22*01	IGHJ4*03	296	6	24	17	39
S460	IGHV3-7*01	IGHD6-25*01	IGHJ6*03	295	7	4	10	62
S461	IGHV3-33*06	IGHD4-17*01	IGHJ2*01	296	2	4	6	38
S462	IGHV4-38-2*01	IGHD2-2*03	IGHJ4*01	294	4	28	0	44
S463	IGHV4-30-4*02	IGHD5-18*01	IGHJ1*01	293	2	20	12	37
S464	IGHV3-30-3*03	IGHD2-2*02	IGHJ4*01	293	0	31	9	43
S465	IGHV3-48*02	IGHD3-16*02	IGHJ5*02	296	0	26	0	51
S466	IGHV3-49*04	IGHD1-1*01	IGHJ5*02	299	3	11	0	51
S467	IGHV1-69-2*01	IGHD2-2*03	IGHJ4*02	295	5	15	13	48
S468	IGHV4-59*01	IGHD2-15*01	IGHJ3*01	293	0	31	2	44
S469	IGHV3-9*01	IGHD3-16*01	IGHJ4*02	298	0	32	4	42
S470	IGHV1-3*01	IGHD2-21*02	IGHJ6*03	293	5	20	5	46
S471	IGHV3-74*03	IGHD2-15*01	IGHJ5*02	296	0	28	0	49
S472	IGHV4-38-2*01	IGHD1-26*01	IGHJ3*02	293	14	14	0	46
S473	IGHV6-1*02	IGHD7-27*01	IGHJ1*01	301	5	0	3	52
S474	IGHV3-73*01	IGHD6-6*01	IGHJ6*01	302	6	6	4	61
S475	IGHV3-66*03	IGHD1-1*01	IGHJ4*03	293	9	7	0	46
S476	IGHV3-15*05	IGHD3-22*01	IGHJ4*02	301	3	10	0	38
S477	IGHV1-46*01	IGHD3-9*01	IGHJ6*03	292	6	20	0	51
S478	IGHV1-8*01	IGHD1-1*01	IGHJ4*03	291	4	10	4	40
S479	IGHV4-28*02	IGHD6-19*01	IGHJ4*01	296	5	5	0	43
S480	IGHV3-30*14	IGHD3-9*01	IGHJ6*04	295	25	25	1	63
S481	IGHV3-48*02	IGHD6-13*01	IGHJ6*02	295	0	6	0	62
S482	IGHV4-39*01	IGHD1-1*01	IGHJ5*01	296	5	17	3	46
S483	IGHV3-64*01	IGHD1-20*01	IGHJ1*01	296	2	15	18	48
S484	IGHV6-1*02	IGHD1-26*01	IGHJ2*01	305	13	12	7	48
S485	IGHV1-8*02	IGHD4-4*01	IGHJ3*01	296	7	0	10	45
S486	IGHV3-7*03	IGHD1-7*01	IGHJ5*02	296	4	11	5	45
S487	IGHV5-51*01	IGHD6-13*01	IGHJ2*01	296	2	15	4	47
S488	IGHV3-11*04	IGHD5-5*01	IGHJ6*03	293	12	15	4	45
S489	IGHV3-7*03	IGHD3-10*02	IGHJ4*01	296	6	23	0	48
S490	IGHV4-38-2*02	IGHD5-5*01	IGHJ3*02	294	19	19	7	43
S491	IGHV3-15*04	IGHD5-18*01	IGHJ2*01	301	0	18	11	40
S492	IGHV3-9*03	IGHD7-27*01	IGHJ2*01	297	1	2	0	43
S493	IGHV4-39*02	IGHD1-20*01	IGHJ5*01	292	0	13	0	50
S494	IGHV3-72*01	IGHD3-9*01	IGHJ4*03	301	7	31	1	42
S495	IGHV3-64*04	IGHD3-22*01	IGHJ6*03	291	5	25	0	57
S496	IGHV2-5*04	IGHD3-9*01	IGHJ2*01	295	7	17	7	41
S497	IGHV1-45*02	IGHD2-15*01	IGHJ5*01	289	4	31	2	41
S498	IGHV3-11*06	IGHD6-19*01	IGHJ6*02	296	3	18	6	58
S499	IGHV4-61*03	IGHD1-20*01	IGHJ2*01	299	8	12	13	50
S500	IGHV3-48*04	IGHD3-16*02	IGHJ2*01	296	0	27	0	44
S501	IGHV4-28*06	IGHD1-26*01	IGHJ1*01	296	7	20	1	46
S502	IGHV3-9*01	IGHD6-25*01	IGHJ4*03	298	6	2	0	37
S503	IGHV2-70*11	IGHD3-22*01	IGHJ2*01	301	7	25	13	45
S504	IGHV4-30-4*04	IGHD3-10*02	IGHJ5*02	290	13	17	5	51
S505	IGHV3-72*01	IGHD3-16*01	IGHJ6*04	302	0	19	5	59
S506	IGHV3-49*01	IGHD1-1*01	IGHJ1*01	301	0	11	12	43
S507	IGHV3-23*04	IGHD1-26*01	IGHJ4*01	296	6	14	0	42
S508	IGHV2-70*11	IGHD2-2*01	IGHJ3*01	301	0	29	0	40
S509	IGHV4-39*06	IGHD1-26*01	IGHJ2*01	297	0	11	0	53
S510	IGHV3-33*05	IGHD4-4*01	IGHJ5*01	295	3	16	3	44
S511	IGHV4-34*09	IGHD1-20*01	IGHJ5*01	293	3	8	8	40
S512	IGHV2-26*01	IGHD6-19*01	IGHJ6*01	299	1	0	0	58
S513	IGHV3-74*03	IGHD3-9*01	IGHJ2*01	296	0	20	0	48
S514	IGHV3-20*01	IGHD6-6*01	IGHJ6*02	295	2	17	12	58
S515	IGHV4-31*03	IGHD4-4*01	IGHJ5*01	298	0	7	5	51
S516	IGHV1-58*02	IGHD4-4*01	IGHJ3*01	294	11	11	10	50
S517	IGHV1-46*02	IGHD5-18*01	IGHJ1*01	293	1	10	1	44
S518	IGHV3-7*03	IGHD7-27*01	IGHJ5*01	296	5	4	3	38
S519	IGHV3-30*11	IGHD2-15*01	IGHJ3*02	296	8	26	1	48
S520	IGHV4-61*01	IGHD4-17*01	IGHJ6*03	299	0	2	3	56
S521	IGHV3-30-3*02	IGHD6-25*01	IGHJ4*02	294	8	0	0	47
S522	IGHV1-3*02	IGHD6-13*01	IGHJ2*01	295	9	11	1	45
S523	IGHV3-30-3*02	IGHD3-10*02	IGHJ1*01	295	5	9	1	51
S524	IGHV5-51*04	IGHD3-3*02	IGHJ4*02	289	1	24	2	48
S525	IGHV2-70*10	IGHD3-16*02	IGHJ6*03	301	15	24	0	56
S526	IGHV1-3*02	IGHD5-12*01	IGHJ6*03	295	0	19	1	57
S527	IGHV3-64*03	IGHD7-27*01	IGHJ1*01	292	0	4	0	47
S528	IGHV3-43*02	IGHD1-20*01	IGHJ1*01	297	9	2	4	52
S529	IGHV1-3*01	IGHD3-3*02	IGHJ4*01	296	4	19	9	48
S530	IGHV1-18*01	IGHD4-17*01	IGHJ4*03	294	3	12	16	39
S531	IGHV1-46*01	IGHD4-17*01	IGHJ4*02	293	3	8	2	43
S532	IGHV3-72*01	IGHD3-22*01	IGHJ2*01	302	0	22	2	53
S533	IGHV1-69-2*01	IGHD2-2*01	IGHJ6*02	296	5	20	2	58
S534	IGHV4-61*03	IGHD6-19*01	IGHJ5*01	299	2	13	5	48
S535	IGHV3-72*01	IGHD1-7*01	IGHJ3*01	301	12	9	3	42
S536	IGHV3-48*03	IGHD1-26*01	IGHJ2*01	296	6	3	2	48
S537	IGHV4-39*05	IGHD6-19*01	IGHJ3*01	292	3	15	1	50
S538	IGHV3-64*02	IGHD3-22*01	IGHJ3*02	295	0	24	1	41
S539	IGHV3-20*01	IGHD1-20*01	IGHJ4*01	296	9	8	1	44
S540	IGHV3-64*04	IGHD2-8*02	IGHJ3*02	296	0	26	9	39
S541	IGHV1-45*02	IGHD4-4*01	IGHJ3*02	290	0	9	0	50
S542	IGHV1-3*02	IGHD2-15*01	IGHJ1*01	296	1	23	10	52
S543	IGHV3-73*02	IGHD4-17*01	IGHJ2*01	301	6	6	7	41
S544	IGHV3-13*04	IGHD4-4*01	IGHJ5*02	292	2	14	0	47
S545	IGHV2-26*01	IGHD4-17*01	IGHJ2*01	300	4	10	6	47
S546	IGHV3-21*04	IGHD3-9*01	IGHJ2*01	295	0	21	1	50
S547	IGHV4-30-4*01	IGHD1-1*01	IGHJ6*02	299	5	13	0	55
S548	IGHV1-69-2*01	IGHD3-22*01	IGHJ4*03	293	9	23	5	43
S549	IGHV1-46*02	IGHD1-20*01	IGHJ4*03	296	7	8	5	48
S550	IGHV3-53*03	IGHD4-4*01	IGHJ3*01	293	5	9	7	44
S551	IGHV2-26*01	IGHD1-1*01	IGHJ4*02	301	4	11	9	48
S552	IGHV3-43*02	IGHD2-8*02	IGHJ6*03	295	10	25	0	57
S553	IGHV4-39*02	IGHD1-20*01	IGHJ6*01	298	11	4	2	52
S554	IGHV3-49*04	IGHD5-18*01	IGHJ3*02	301	0	1	6	44
S555	IGHV3-64*01	IGHD7-27*01	IGHJ2*01	296	2	5	0	46
S556	IGHV4-31*02	IGHD2-8*02	IGHJ3*01	298	4	21	4	37
S557	IGHV3-7*01	IGHD6-6*01	IGHJ4*02	296	2	3	8	46
S558	IGHV4-38-2*01	IGHD2-8*02	IGHJ5*02	291	5	19	3	49
S559	IGHV4-61*08	IGHD5-18*01	IGHJ3*02	296	1	11	3	47
S560	IGHV4-39*01	IGHD5-18*01	IGHJ1*01	298	4	16	9	49
S561	IGHV3-23*05	IGHD1-26*01	IGHJ1*01	293	1	16	3	45
S562	IGHV3-72*01	IGHD3-16*01	IGHJ6*02	302	0	27	0	61
S563	IGHV1-24*01	IGHD1-1*01	IGHJ2*01	295	2	11	10	40
S564	IGHV2-5*09	IGHD4-4*01	IGHJ3*01	301	15	6	10	41
S565	IGHV3-15*05	IGHD7-27*01	IGHJ4*01	302	5	10	9	47
S566	IGHV3-64*03	IGHD2-8*01	IGHJ2*01	296	9	30	3	47
S567	IGHV3-73*02	IGHD3-10*01	IGHJ4*02	301	2	27	0	43
S568	IGHV3-7*01	IGHD7-27*01	IGHJ5*01	295	8	4	3	51
S569	IGHV2-26*01	IGHD4-17*01	IGHJ6*04	301	0	13	4	49
S570	IGHV3-20*01	IGHD6-25*01	IGHJ2*01	296	8	6	2	52
S571	IGHV4-30-2*03	IGHD7-27*01	IGHJ3*02	297	6	6	4	48
S572	IGHV2-5*06	IGHD6-13*01	IGHJ2*01	300	12	20	9	53
S573	IGHV6-1*01	IGHD5-12*01	IGHJ5*01	303	4	0	4	47
S574	IGHV1-2*01	IGHD2-8*02	IGHJ6*04	291	0	27	0	61
S575	IGHV3-13*02	IGHD3-16*01	IGHJ6*03	292	8	18	1	62
S576	IGHV2-5*02	IGHD6-13*01	IGHJ4*03	300	1	3	0	48
S577	IGHV3-48*02	IGHD4-17*01	IGHJ3*01	295	7	16	0	49
S578	IGHV3-13*02	IGHD6-19*01	IGHJ5*02	293	7	16	0	51
S579	IGHV2-5*02	IGHD3-3*02	IGHJ1*01	301	0	17	0	49
S580	IGHV3-11*04	IGHD3-10*02	IGHJ1*01	293	7	24	17	41
S581	IGHV5-51*04	IGHD6-25*01	IGHJ2*01	294	7	12	6	48
S582	IGHV3-64*05	IGHD7-27*01	IGHJ4*01	290	3	0	5	48
S583	IGHV4-61*08	IGHD6-19*01	IGHJ5*02	293	0	11	5	46
S584	IGHV2-70*12	IGHD1-7*01	IGHJ5*01	301	14	7	0	42
S585	IGHV5-51*03	IGHD1-1*01	IGHJ6*03	289	8	14	0	55
S586	IGHV1-69-2*01	IGHD5-18*01	IGHJ6*03	296	1	14	0	46
S587	IGHV3-43*01	IGHD2-15*01	IGHJ2*01	297	9	26	6	53
S588	IGHV3-23*02	IGHD6-19*01	IGHJ5*02	296	7	10	5	46
S589	IGHV1-8*01	IGHD1-7*01	IGHJ6*02	295	0	3	0	56
S590	IGHV3-74*02	IGHD7-27*01	IGHJ2*01	294	15	5	0	47
S591	IGHV3-21*01	IGHD5-18*01	IGHJ4*02	296	6	20	9	48
S592	IGHV3-73*01	IGHD6-19*01	IGHJ5*01	302	6	7	0	49
S593	IGHV3-73*01	IGHD5-5*01	IGHJ6*02	302	4	3	1	56
S594	IGHV3-11*04	IGHD6-19*01	IGHJ3*01	295	5	21	7	45
S595	IGHV2-5*08	IGHD2-15*01	IGHJ1*01	301	13	22	0	46
S596	IGHV2-5*09	IGHD5-12*01	IGHJ3*02	301	0	17	2	50
S597	IGHV2-26*01	IGHD3-9*01	IGHJ2*01	299	19	19	5	37
S598	IGHV4-30-2*05	IGHD5-5*01	IGHJ2*01	298	5	16	3	51
S599	IGHV3-64*05	IGHD3-10*01	IGHJ3*02	295	6	28	0	50
S600	IGHV3-21*01	IGHD6-19*01	IGHJ6*04	296	4	11	6	53
S601	IGHV3-20*01	IGHD2-2*02	IGHJ3*02	290	8	28	0	47
S602	IGHV3-64*04	IGHD6-25*01	IGHJ2*01	292	4	2	3	51
S603	IGHV4-30-2*06	IGHD5-5*01	IGHJ6*01	299	5	18	8	61
S604	IGHV3-73*01	IGHD6-19*01	IGHJ1*01	301	9	10	0	44
S605	IGHV5-10-1*04	IGHD1-26*01	IGHJ5*01	293	7	14	14	45
S606	IGHV4-61*08	IGHD6-19*01	IGHJ2*01	299	0	14	13	47
S607	IGHV1-24*01	IGHD5-5*01	IGHJ5*02	296	12	16	1	45
S608	IGHV4-39*01	IGHD6-13*01	IGHJ1*01	298	1	12	5	48
S609	IGHV4-30-2*05	IGHD3-22*01	IGHJ2*01	299	5	27	0	36
S610	IGHV3-21*03	IGHD5-18*01	IGHJ3*01	295	4	6	3	50
S611	IGHV3-15*02	IGHD2-8*01	IGHJ5*01	301	9	31	8	48
S612	IGHV1-45*01	IGHD3-16*02	IGHJ3*02	295	11	23	0	50
S613	IGHV3-20*01	IGHD6-19*01	IGHJ2*01	296	0	11	0	51
S614	IGHV3-13*03	IGHD6-6*01	IGHJ4*01	290	4	16	4	44
S615	IGHV3-43*02	IGHD4-17*01	IGHJ2*01	298	21	3	6	48
S616	IGHV3-73*01	IGHD6-6*01	IGHJ2*01	301	8	0	0	52
S617	IGHV7-4-1*01	IGHD3-3*02	IGHJ1*01	294	12	28	1	47
S618	IGHV1-58*01	IGHD3-16*02	IGHJ6*03	295	6	35	0	57
S619	IGHV2-5*06	IGHD7-27*01	IGHJ6*04	300	23	0	8	63
S620	IGHV3-7*03	IGHD7-27*01	IGHJ5*01	296	2	11	10	48
S621	IGHV3-15*07	IGHD4-4*01	IGHJ2*01	302	0	12	0	53
S622	IGHV1-24*01	IGHD3-9*01	IGHJ3*02	296	7	27	4	48
S623	IGHV3-13*03	IGHD1-26*01	IGHJ1*01	291	7	13	0	44
S624	IGHV3-23*05	IGHD2-15*01	IGHJ5*01	294	9	23	2	51
S625	IGHV3-33*05	IGHD6-19*01	IGHJ3*02	296	7	13	2	37
S626	IGHV4-31*08	IGHD6-6*01	IGHJ6*03	290	4	15	0	60
S627	IGHV3-72*01	IGHD3-22*01	IGHJ6*03	301	3	25	8	47
S628	IGHV3-48*02	IGHD1-7*01	IGHJ2*01	296	12	9	0	53
S629	IGHV2-70*02	IGHD3-22*01	IGHJ4*01	290	0	19	0	34
S630	IGHV3-74*01	IGHD1-1*01	IGHJ6*02	295	0	16	4	57
S631	IGHV3-20*01	IGHD1-7*01	IGHJ1*01	295	7	5	4	47
S632	IGHV3-15*01	IGHD5-18*01	IGHJ1*01	302	8	14	0	37
S633	IGHV4-59*06	IGHD1-7*01	IGHJ4*02	288	12	15	2	44
S634	IGHV4-61*08	IGHD5-12*01	IGHJ1*01	298	7	9	0	44
S635	IGHV7-4-1*04	IGHD4-4*01	IGHJ3*01	296	4	8	8	45
S636	IGHV3-33*03	IGHD1-26*01	IGHJ6*02	290	5	17	5	55
S637	IGHV1-18*04	IGHD6-13*01	IGHJ4*02	296	1	16	3	48
S638	IGHV3-11*03	IGHD6-25*01	IGHJ6*01	294	2	18	0	59
S639	IGHV4-30-2*06	IGHD6-13*01	IGHJ2*01	298	0	13	12	53
S640	IGHV3-30-3*01	IGHD1-1*01	IGHJ3*02	289	3	12	8	49
S641	IGHV1-3*02	IGHD3-3*01	IGHJ6*04	295	0	16	4	61
S642	IGHV3-15*01	IGHD1-1*01	IGHJ1*01	301	7	6	2	42
S643	IGHV3-30-3*02	IGHD2-21*02	IGHJ4*03	296	4	15	7	36
S644	IGHV4-59*03	IGHD6-19*01	IGHJ2*01	287	4	19	1	35
S645	IGHV3-11*06	IGHD5-12*01	IGHJ5*02	294	7	16	5	51
S646	IGHV3-73*01	IGHD2-21*02	IGHJ1*01	301	0	10	2	45
S647	IGHV1-2*04	IGHD2-2*03	IGHJ2*01	295	0	27	9	48
S648	IGHV3-15*04	IGHD1-7*01	IGHJ6*04	302	5	8	13	51
S649	IGHV2-26*01	IGHD7-27*01	IGHJ2*01	301	5	11	6	53
S650	IGHV1-3*01	IGHD5-5*01	IGHJ3*01	293	2	18	7	35
S651	IGHV3-73*02	IGHD5-12*01	IGHJ2*01	302	8	19	1	52
S652	IGHV1-3*01	IGHD1-1*01	IGHJ4*03	294	0	3	3	46
S653	IGHV3-30-3*01	IGHD5-18*01	IGHJ5*02	294	4	5	1	48
S654	IGHV3-11*04	IGHD6-25*01	IGHJ2*01	296	0	14	6	36
S655	IGHV3-43*01	IGHD5-5*01	IGHJ1*01	297	6	15	9	52
S656	IGHV4-30-2*01	IGHD5-12*01	IGHJ4*02	298	2	12	0	34
S657	IGHV6-1*02	IGHD4-4*01	IGHJ1*01	304	5	5	4	52
S658	IGHV1-18*03	IGHD3-22*01	IGHJ5*02	295	3	28	8	42
S659	IGHV3-23*03	IGHD1-26*01	IGHJ3*02	296	5	10	2	45
